formula,unsat_count,solution_time
0.cnf,4,21.967625617980957
1.cnf,3,1.5785181522369385
2.cnf,5,94.01711773872375
3.cnf,4,9.389684677124023
4.cnf,4,13.806901693344116
5.cnf,5,192.9363260269165
6.cnf,cutoff,cutoff
7.cnf,4,16.651853799819946
8.cnf,3,2.7695415019989014
9.cnf,4,18.248193979263306
10.cnf,4,11.570045948028564
11.cnf,5,68.73643827438354
12.cnf,4,13.882174730300903
13.cnf,5,96.52747344970703
14.cnf,6,713.4089691638947
15.cnf,4,20.722405910491943
16.cnf,5,75.39543342590332
17.cnf,4,27.822930574417114
18.cnf,5,28.852847814559937
19.cnf,6,480.2905352115631
20.cnf,6,881.6781010627747
21.cnf,3,3.042287588119507
22.cnf,5,80.9879629611969
23.cnf,3,2.0447628498077393
24.cnf,4,13.108704566955566
25.cnf,6,836.4158480167389
26.cnf,7,4540.408370733261
27.cnf,6,658.1671993732452
28.cnf,5,56.778998136520386
29.cnf,5,191.6059958934784
30.cnf,4,18.30581784248352
31.cnf,4,4.909217357635498
32.cnf,4,21.159956693649292
33.cnf,5,107.89600729942322
34.cnf,4,7.816631317138672
35.cnf,6,112.24840593338013
36.cnf,3,2.36830997467041
37.cnf,5,64.49906325340271
38.cnf,5,58.662604331970215
39.cnf,5,130.26747512817383
40.cnf,6,507.7649576663971
41.cnf,6,854.2966878414154
42.cnf,5,52.94978380203247
43.cnf,4,13.335289001464844
44.cnf,6,336.71887040138245
45.cnf,6,763.0258181095123
46.cnf,5,82.62658619880676
47.cnf,5,37.66225552558899
48.cnf,5,42.23239850997925
49.cnf,4,7.68578577041626
50.cnf,4,11.905739784240723
51.cnf,5,53.490537881851196
52.cnf,5,75.3297929763794
53.cnf,cutoff,cutoff
54.cnf,4,12.51939868927002
55.cnf,5,93.59387636184692
56.cnf,4,6.7598161697387695
57.cnf,cutoff,cutoff
58.cnf,cutoff,cutoff
59.cnf,5,51.88654899597168
60.cnf,6,373.4870443344116
61.cnf,4,22.146235704421997
62.cnf,6,796.8549258708954
63.cnf,6,796.810478925705
64.cnf,5,78.19233250617981
65.cnf,5,68.30051398277283
66.cnf,5,62.527891397476196
67.cnf,6,485.6188430786133
68.cnf,5,87.52066850662231
69.cnf,5,36.55098032951355
70.cnf,5,116.7182309627533
71.cnf,6,673.8926672935486
72.cnf,5,48.337284564971924
73.cnf,5,80.25716042518616
74.cnf,3,2.230039358139038
75.cnf,5,154.67774057388306
76.cnf,4,16.419990062713623
77.cnf,3,2.5968234539031982
78.cnf,5,150.83491277694702
79.cnf,5,159.40028405189514
80.cnf,5,117.35092306137085
81.cnf,4,19.99611783027649
82.cnf,3,2.7949767112731934
83.cnf,3,1.881047248840332
84.cnf,6,318.7662971019745
85.cnf,5,94.44424176216125
86.cnf,5,158.0967743396759
87.cnf,5,132.2929708957672
88.cnf,5,45.254820585250854
89.cnf,5,27.882614374160767
90.cnf,5,35.46712589263916
91.cnf,cutoff,cutoff
92.cnf,4,7.149577379226685
93.cnf,cutoff,cutoff
94.cnf,5,19.143855094909668
95.cnf,5,79.9025011062622
96.cnf,6,773.4466054439545
97.cnf,5,46.37733244895935
98.cnf,5,96.7418429851532
99.cnf,7,773.3937222957611
