formula,unsat_count,solution_time
0.cnf,2,3.1509416103363037
1.cnf,2,1.8314790725708008
2.cnf,1,0.01970529556274414
3.cnf,1,0.03892374038696289
4.cnf,1,0.03833127021789551
5.cnf,1,0.025696754455566406
6.cnf,2,1.6148114204406738
7.cnf,1,0.013239383697509766
8.cnf,1,0.037178754806518555
9.cnf,3,9.646600723266602
10.cnf,3,11.357803106307983
11.cnf,1,0.03899884223937988
12.cnf,3,15.817328453063965
13.cnf,2,3.092866897583008
14.cnf,1,0.04698681831359863
15.cnf,2,2.152818202972412
16.cnf,1,0.02978658676147461
17.cnf,1,0.7217302322387695
18.cnf,3,13.371503353118896
19.cnf,1,0.05290555953979492
20.cnf,2,3.2221248149871826
21.cnf,1,0.029625654220581055
22.cnf,1,0.048943519592285156
23.cnf,1,0.020821094512939453
24.cnf,1,0.07570838928222656
25.cnf,1,0.02821660041809082
26.cnf,1,0.0727834701538086
27.cnf,1,0.028903484344482422
28.cnf,1,0.023446321487426758
29.cnf,2,3.1515252590179443
30.cnf,1,0.05893301963806152
31.cnf,1,0.022603988647460938
32.cnf,1,0.031618595123291016
33.cnf,1,0.10432219505310059
34.cnf,1,0.058972835540771484
35.cnf,1,0.0308840274810791
36.cnf,1,0.02058887481689453
37.cnf,2,2.144209861755371
38.cnf,2,1.8068695068359375
39.cnf,1,0.07117080688476562
40.cnf,1,0.027464866638183594
41.cnf,1,0.027669668197631836
42.cnf,1,0.027280807495117188
43.cnf,2,5.029419898986816
44.cnf,2,2.327946186065674
45.cnf,1,0.040436744689941406
46.cnf,2,4.367272615432739
47.cnf,2,1.925652265548706
48.cnf,2,2.5401933193206787
49.cnf,1,0.028791189193725586
50.cnf,2,2.42728853225708
51.cnf,2,6.699747085571289
52.cnf,1,0.03707480430603027
53.cnf,2,2.6690218448638916
54.cnf,1,0.026350021362304688
55.cnf,1,0.04238080978393555
56.cnf,3,31.61839008331299
57.cnf,1,0.026427030563354492
58.cnf,2,2.5275251865386963
59.cnf,2,4.022873163223267
60.cnf,1,0.12151813507080078
61.cnf,1,0.0224001407623291
62.cnf,2,1.6964373588562012
63.cnf,1,0.04910707473754883
64.cnf,2,3.1706008911132812
65.cnf,1,0.030225753784179688
66.cnf,1,0.027824878692626953
67.cnf,1,0.15447497367858887
68.cnf,1,0.028670549392700195
69.cnf,1,0.02072930335998535
70.cnf,1,0.022063016891479492
71.cnf,2,3.1353633403778076
72.cnf,1,0.03886103630065918
73.cnf,3,16.485059022903442
74.cnf,3,13.134487867355347
75.cnf,2,19.133086681365967
76.cnf,1,0.026868343353271484
77.cnf,2,1.933279275894165
78.cnf,1,0.01774907112121582
79.cnf,1,0.03192448616027832
80.cnf,1,0.02615046501159668
81.cnf,1,0.02591252326965332
82.cnf,1,0.020425081253051758
83.cnf,1,0.04327678680419922
84.cnf,2,2.1734800338745117
85.cnf,1,0.03503060340881348
86.cnf,2,3.278592586517334
87.cnf,1,0.0556187629699707
88.cnf,2,1.804234266281128
89.cnf,1,0.05617666244506836
90.cnf,1,0.03284645080566406
91.cnf,2,2.2053117752075195
92.cnf,1,0.055098533630371094
93.cnf,1,0.027970552444458008
94.cnf,2,1.7329447269439697
95.cnf,1,0.03992962837219238
96.cnf,2,2.2195863723754883
97.cnf,1,0.040505409240722656
98.cnf,2,2.5960607528686523
99.cnf,1,0.04947042465209961
