formula,unsat_count,solution_time
0.cnf,1,0.08069252967834473
1.cnf,1,0.042502641677856445
2.cnf,1,0.01934051513671875
3.cnf,1,0.030312538146972656
4.cnf,1,0.027623414993286133
5.cnf,1,0.028081178665161133
6.cnf,1,0.04068636894226074
7.cnf,1,0.0647432804107666
8.cnf,1,0.044684410095214844
9.cnf,1,0.028574228286743164
10.cnf,1,0.02628803253173828
11.cnf,1,0.035799503326416016
12.cnf,1,0.04599595069885254
13.cnf,1,0.025353431701660156
14.cnf,1,0.05763983726501465
15.cnf,1,0.07674527168273926
16.cnf,1,0.024828672409057617
17.cnf,1,0.06280112266540527
18.cnf,1,0.03300142288208008
19.cnf,2,5.5638954639434814
20.cnf,1,0.05382370948791504
21.cnf,1,0.05208230018615723
22.cnf,1,0.04973292350769043
23.cnf,1,0.04322504997253418
24.cnf,1,0.04800271987915039
25.cnf,1,0.06253838539123535
26.cnf,1,0.06386017799377441
27.cnf,2,3.1105568408966064
28.cnf,1,0.04543113708496094
29.cnf,1,0.026382923126220703
30.cnf,1,0.03777146339416504
31.cnf,1,0.04750370979309082
32.cnf,1,0.023424625396728516
33.cnf,1,0.03975701332092285
34.cnf,1,0.0391087532043457
35.cnf,1,0.04334521293640137
36.cnf,1,0.06281709671020508
37.cnf,1,0.03575873374938965
38.cnf,1,0.034131526947021484
39.cnf,1,0.05924344062805176
40.cnf,1,0.032427310943603516
41.cnf,1,0.047868967056274414
42.cnf,1,0.03532052040100098
43.cnf,1,0.0423736572265625
44.cnf,1,0.04220461845397949
45.cnf,1,0.05399489402770996
46.cnf,1,0.03549051284790039
47.cnf,1,0.08389735221862793
48.cnf,1,0.036023855209350586
49.cnf,1,0.025357484817504883
50.cnf,1,0.3799099922180176
51.cnf,1,0.04373359680175781
52.cnf,1,0.04171466827392578
53.cnf,1,0.03693342208862305
54.cnf,1,0.04554486274719238
55.cnf,1,1.250840663909912
56.cnf,1,0.03820180892944336
57.cnf,1,0.04178571701049805
58.cnf,1,0.05707097053527832
59.cnf,1,0.0597386360168457
60.cnf,1,0.07450294494628906
61.cnf,1,0.03729891777038574
62.cnf,1,0.04763674736022949
63.cnf,1,0.0642247200012207
64.cnf,1,0.025265216827392578
65.cnf,2,3.105419397354126
66.cnf,1,0.027918577194213867
67.cnf,1,0.0359494686126709
68.cnf,1,0.12934088706970215
69.cnf,1,0.034807682037353516
70.cnf,1,0.048239946365356445
71.cnf,1,0.1828322410583496
72.cnf,1,0.032801151275634766
73.cnf,1,0.03230023384094238
74.cnf,1,0.043852806091308594
75.cnf,1,0.0760500431060791
76.cnf,1,0.04984331130981445
77.cnf,1,0.04197382926940918
78.cnf,1,0.06544256210327148
79.cnf,1,0.04456734657287598
80.cnf,1,0.04447364807128906
81.cnf,1,0.03646731376647949
82.cnf,1,0.03919219970703125
83.cnf,1,0.027322053909301758
84.cnf,1,0.02644634246826172
85.cnf,1,0.24771690368652344
86.cnf,1,0.04024243354797363
87.cnf,2,7.367445707321167
88.cnf,1,0.0428309440612793
89.cnf,1,0.046468257904052734
90.cnf,1,0.03380393981933594
91.cnf,1,0.04523015022277832
92.cnf,1,0.04185938835144043
93.cnf,1,0.04966878890991211
94.cnf,1,0.02915811538696289
95.cnf,1,0.041623830795288086
96.cnf,1,0.042374610900878906
97.cnf,1,0.06698179244995117
98.cnf,1,0.06420660018920898
99.cnf,1,0.05507302284240723
