formula,unsat_count,solution_time
0.cnf,1,0.028751611709594727
1.cnf,1,0.02935314178466797
2.cnf,1,0.03563189506530762
3.cnf,1,0.04105734825134277
4.cnf,1,0.030286788940429688
5.cnf,1,0.03940892219543457
6.cnf,1,0.03553581237792969
7.cnf,1,0.031232357025146484
8.cnf,1,0.028252124786376953
9.cnf,1,0.025017738342285156
10.cnf,1,0.015156984329223633
11.cnf,1,0.028259754180908203
12.cnf,1,0.030117273330688477
13.cnf,1,0.028265714645385742
14.cnf,1,0.027953386306762695
15.cnf,1,0.031078577041625977
16.cnf,1,0.03768014907836914
17.cnf,1,0.0273590087890625
18.cnf,1,0.02543020248413086
19.cnf,1,0.03045654296875
20.cnf,1,0.03139948844909668
21.cnf,1,0.030899524688720703
22.cnf,1,0.0355992317199707
23.cnf,1,0.028586387634277344
24.cnf,1,0.02309894561767578
25.cnf,1,0.02997422218322754
26.cnf,1,0.030475854873657227
27.cnf,1,0.02639484405517578
28.cnf,1,0.053243160247802734
29.cnf,1,0.03131246566772461
30.cnf,1,0.02504110336303711
31.cnf,1,0.018692493438720703
32.cnf,1,0.025138378143310547
33.cnf,1,0.03394150733947754
34.cnf,1,0.026752948760986328
35.cnf,1,0.02875685691833496
36.cnf,1,0.031115055084228516
37.cnf,1,0.015960693359375
38.cnf,1,0.0191957950592041
39.cnf,1,0.01809525489807129
40.cnf,1,0.04054403305053711
41.cnf,1,0.03362560272216797
42.cnf,1,0.027721166610717773
43.cnf,1,0.025676488876342773
44.cnf,1,0.027152538299560547
45.cnf,1,0.03031754493713379
46.cnf,1,0.029154062271118164
47.cnf,1,0.025892257690429688
48.cnf,1,0.030462026596069336
49.cnf,1,0.02051854133605957
50.cnf,1,0.020474910736083984
51.cnf,1,0.0229339599609375
52.cnf,1,0.026717424392700195
53.cnf,1,0.04387497901916504
54.cnf,1,0.027980327606201172
55.cnf,1,0.031160354614257812
56.cnf,1,0.025635480880737305
57.cnf,1,0.035921335220336914
58.cnf,1,0.02805042266845703
59.cnf,1,0.029361963272094727
60.cnf,1,0.03519272804260254
61.cnf,1,0.031881093978881836
62.cnf,1,0.0294802188873291
63.cnf,1,0.0202486515045166
64.cnf,1,0.03000926971435547
65.cnf,1,0.033967018127441406
66.cnf,1,0.02722477912902832
67.cnf,1,0.032013654708862305
68.cnf,1,0.017618656158447266
69.cnf,1,0.025693416595458984
70.cnf,1,0.026871204376220703
71.cnf,1,0.02632284164428711
72.cnf,1,0.02733469009399414
73.cnf,1,0.02433490753173828
74.cnf,1,0.019910573959350586
75.cnf,1,0.025316715240478516
76.cnf,1,0.022046566009521484
77.cnf,1,0.026395082473754883
78.cnf,1,0.031214475631713867
79.cnf,1,0.030286073684692383
80.cnf,1,0.031026601791381836
81.cnf,1,0.02198505401611328
82.cnf,1,0.020585298538208008
83.cnf,1,0.0322418212890625
84.cnf,1,0.025760173797607422
85.cnf,1,0.021117448806762695
86.cnf,1,0.030731201171875
87.cnf,1,0.019254446029663086
88.cnf,1,0.027574539184570312
89.cnf,1,0.03160595893859863
90.cnf,1,0.02953338623046875
91.cnf,1,0.028991222381591797
92.cnf,1,0.03358602523803711
93.cnf,1,0.028799772262573242
94.cnf,1,0.03254413604736328
95.cnf,1,0.0317385196685791
96.cnf,1,0.04748201370239258
97.cnf,1,0.02642989158630371
98.cnf,1,0.05389523506164551
99.cnf,1,0.021459341049194336
