formula,unsat_count,solution_time
0.cnf,2,1.2722105979919434
1.cnf,1,0.02685093879699707
2.cnf,1,0.013576269149780273
3.cnf,1,0.015334367752075195
4.cnf,1,0.013754129409790039
5.cnf,1,0.03905916213989258
6.cnf,1,0.01729750633239746
7.cnf,1,0.022681474685668945
8.cnf,1,0.011225223541259766
9.cnf,1,0.019321203231811523
10.cnf,1,0.017412185668945312
11.cnf,1,0.016308069229125977
12.cnf,1,0.05333447456359863
13.cnf,1,0.015573740005493164
14.cnf,1,0.02140045166015625
15.cnf,1,0.01773834228515625
16.cnf,1,0.020123720169067383
17.cnf,1,0.018833637237548828
18.cnf,1,0.018063068389892578
19.cnf,2,1.1341404914855957
20.cnf,1,0.019949913024902344
21.cnf,1,0.022987842559814453
22.cnf,1,0.012587785720825195
23.cnf,1,0.024228572845458984
24.cnf,1,0.017350435256958008
25.cnf,1,0.01038813591003418
26.cnf,1,0.02257370948791504
27.cnf,1,0.019314289093017578
28.cnf,1,0.02423405647277832
29.cnf,1,0.022906064987182617
30.cnf,1,0.018195152282714844
31.cnf,1,0.01737380027770996
32.cnf,1,0.016396760940551758
33.cnf,1,0.013336181640625
34.cnf,1,0.01565241813659668
35.cnf,1,0.01178121566772461
36.cnf,1,0.009498834609985352
37.cnf,2,1.1870288848876953
38.cnf,1,0.11286544799804688
39.cnf,1,0.020876407623291016
40.cnf,1,0.024071931838989258
41.cnf,1,0.010477066040039062
42.cnf,1,0.016510725021362305
43.cnf,1,0.010133028030395508
44.cnf,1,0.05245184898376465
45.cnf,1,0.018128633499145508
46.cnf,1,0.031068086624145508
47.cnf,1,0.1738579273223877
48.cnf,1,0.026917695999145508
49.cnf,1,0.0419921875
50.cnf,1,0.014863729476928711
51.cnf,1,0.016795635223388672
52.cnf,1,0.015635967254638672
53.cnf,1,0.01565861701965332
54.cnf,1,0.023268938064575195
55.cnf,1,0.009721994400024414
56.cnf,1,0.01896834373474121
57.cnf,1,0.03385138511657715
58.cnf,1,0.012439727783203125
59.cnf,1,0.01890277862548828
60.cnf,1,0.013831377029418945
61.cnf,1,0.021558046340942383
62.cnf,1,0.026749372482299805
63.cnf,1,0.015124320983886719
64.cnf,1,0.010914325714111328
65.cnf,1,0.01147913932800293
66.cnf,1,0.01519012451171875
67.cnf,1,0.020514965057373047
68.cnf,1,0.011949300765991211
69.cnf,1,0.014078617095947266
70.cnf,1,0.020386219024658203
71.cnf,1,0.013222694396972656
72.cnf,1,0.01849222183227539
73.cnf,1,0.013725042343139648
74.cnf,1,0.01834702491760254
75.cnf,1,0.021684646606445312
76.cnf,1,0.018511533737182617
77.cnf,1,0.01419210433959961
78.cnf,1,0.013788700103759766
79.cnf,1,0.030211925506591797
80.cnf,1,0.04883885383605957
81.cnf,1,0.022460222244262695
82.cnf,1,0.014808177947998047
83.cnf,1,0.02195453643798828
84.cnf,1,0.019678354263305664
85.cnf,1,0.017664432525634766
86.cnf,1,0.018630027770996094
87.cnf,1,0.01735091209411621
88.cnf,1,0.01705646514892578
89.cnf,1,0.00827789306640625
90.cnf,1,0.024472475051879883
91.cnf,1,0.014210700988769531
92.cnf,1,0.03566551208496094
93.cnf,1,0.0192563533782959
94.cnf,1,0.016922950744628906
95.cnf,1,0.018133163452148438
96.cnf,1,0.027976274490356445
97.cnf,1,0.012146472930908203
98.cnf,1,0.021251440048217773
99.cnf,1,0.02136373519897461
